m,scenario,effect,segment_length,split_fraction,n_left,n_right,total_length,detector,population_gain,expected_gain_total,mean_raw_gain,mean_score,sd_score,critical_value,null_rate_zero_threshold,power_zero_threshold,power_calibrated,shift_accuracy,n_alt,n_null,alpha,optimizer_failures,seed,pattern_000,pattern_001,pattern_010,pattern_011,pattern_100,pattern_101,pattern_110,pattern_111
2,independent_fundamental,0.08,200,0.5,200,200,400,shared_orbit,0.001756339186107292,0.7025356744429168,0.6720243966072054,0.6720243966072054,1.543054285098071,0.881007022363292,0.185,0.622,0.352,,500,1000,0.05,0,3106641041,312,62,0,0,0,0,12,114
2,independent_fundamental,0.08,400,0.5,400,400,800,full,0.0019176920110870327,1.5341536088696262,1.9344165434163847,-0.7147421398576336,1.8146649369496448,-0.797376616929037,0.021,0.272,0.404,,500,1000,0.05,0,2636504288,193,105,0,0,0,0,10,192
2,independent_fundamental,0.08,400,0.5,400,400,800,fundamental,0.0019176920110870466,1.5341536088696373,1.9344165434163052,-0.7147421398577132,1.8146649369496166,-0.7973766169291507,0.021,0.272,0.404,,500,1000,0.05,0,2636504288,193,105,0,0,0,0,10,192
2,independent_fundamental,0.08,400,0.5,400,400,800,shared_orbit,0.001756339186107292,1.4050713488858335,1.3139052847528463,1.3139052847528463,2.0048347914669056,0.490100090719352,0.093,0.734,0.594,,500,1000,0.05,0,2636504288,193,105,0,0,0,0,10,192
2,independent_fundamental,0.08,800,0.5,800,800,1600,full,0.0019176920110870327,3.0683072177392523,3.882771668128917,0.8870393945749265,2.842847454640879,-0.9835558694762274,0.02,0.566,0.682,,500,1000,0.05,0,2588573105,23,136,0,0,0,0,4,337
2,independent_fundamental,0.08,800,0.5,800,800,1600,fundamental,0.0019176920110870466,3.0683072177392745,3.8827716681287954,0.8870393945748046,2.8428474546408733,-0.9835558694769095,0.02,0.566,0.682,,500,1000,0.05,0,2588573105,23,136,0,0,0,0,4,337
2,independent_fundamental,0.08,800,0.5,800,800,1600,shared_orbit,0.001756339186107292,2.810142697771667,3.112307185185295,3.112307185185295,3.02240415934224,-0.7201080388990704,0.021,0.89,0.946,,500,1000,0.05,0,2588573105,23,136,0,0,0,0,4,337
2,independent_fundamental,0.08,1600,0.5,1600,1600,3200,full,0.0019176920110870327,6.136614435478505,6.757270129657449,3.4149642658234862,3.5868890884972244,-1.3696594453761923,0.009,0.816,0.936,,500,1000,0.05,0,3165817463,0,32,0,0,0,0,0,468
2,independent_fundamental,0.08,1600,0.5,1600,1600,3200,fundamental,0.0019176920110870466,6.136614435478549,6.757270129654426,3.414964265820462,3.5868890884973266,-1.3696594453789208,0.009,0.816,0.936,,500,1000,0.05,0,3165817463,0,32,0,0,0,0,0,468
2,independent_fundamental,0.08,1600,0.5,1600,1600,3200,shared_orbit,0.001756339186107292,5.620285395543334,5.716795897755149,5.716795897755149,3.773397972137321,-3.7815075273551884,0.0,0.958,1.0,,500,1000,0.05,0,3165817463,0,32,0,0,0,0,0,468
2,independent_fundamental,0.08,3200,0.5,3200,3200,6400,full,0.0019176920110870327,12.27322887095701,12.61607256080847,8.927193106694537,4.770172609486678,-1.7301684435644873,0.006,0.994,1.0,,500,1000,0.05,0,2093817848,0,0,0,0,0,0,0,500
2,independent_fundamental,0.08,3200,0.5,3200,3200,6400,fundamental,0.0019176920110870466,12.273228870957098,12.616072560819184,8.92719310670525,4.77017260948661,-1.7301684435544828,0.006,0.994,1.0,,500,1000,0.05,0,2093817848,0,0,0,0,0,0,0,500
2,independent_fundamental,0.08,3200,0.5,3200,3200,6400,shared_orbit,0.001756339186107292,11.240570791086668,11.094048565743547,11.094048565743547,4.917166819067802,-10.563464787524936,0.0,0.998,1.0,,500,1000,0.05,0,2093817848,0,0,0,0,0,0,0,500
2,independent_fundamental,0.12,100,0.5,100,100,200,full,0.004302746408107433,0.8605492816214866,1.3330838032143446,-0.6229276994997288,1.4211737105752953,-0.4516017348184218,0.034,0.266,0.32,,500,1000,0.05,0,3111608444,290,50,0,0,0,0,17,143
2,independent_fundamental,0.12,100,0.5,100,100,200,fundamental,0.004302746408107683,0.8605492816215365,1.3330838032144978,-0.6229276994995757,1.4211737105752957,-0.4516017348183081,0.034,0.266,0.32,,500,1000,0.05,0,3111608444,290,50,0,0,0,0,17,143
2,independent_fundamental,0.12,100,0.5,100,100,200,shared_orbit,0.0039415114225620496,0.7883022845124099,0.7044711565226492,0.7044711565226492,1.6874412098737885,0.6455692550044319,0.146,0.634,0.386,,500,1000,0.05,0,3111608444,290,50,0,0,0,0,17,143
2,independent_fundamental,0.12,200,0.5,200,200,400,full,0.004302746408107433,1.7210985632429732,2.209833017238025,-0.0927520757560201,1.925952620109295,-0.43729108448793363,0.028,0.392,0.466,,500,1000,0.05,0,2495764629,136,131,0,0,0,0,7,226
2,independent_fundamental,0.12,200,0.5,200,200,400,fundamental,0.004302746408107683,1.721098563243073,2.209833017237991,-0.09275207575605443,1.925952620109278,-0.4372910844879905,0.028,0.392,0.466,,500,1000,0.05,0,2495764629,136,131,0,0,0,0,7,226
2,independent_fundamental,0.12,200,0.5,200,200,400,shared_orbit,0.0039415114225620496,1.5766045690248198,1.5922292042920143,1.5922292042920143,2.117712661773153,0.36097980066836044,0.076,0.778,0.714,,500,1000,0.05,0,2495764629,136,131,0,0,0,0,7,226
2,independent_fundamental,0.12,400,0.5,400,400,800,full,0.004302746408107433,3.4421971264859463,3.92219351849202,1.2730348352180019,2.6859091634050385,-0.8038654359624302,0.015,0.626,0.736,,500,1000,0.05,0,2305879413,18,114,0,0,0,0,3,365
2,independent_fundamental,0.12,400,0.5,400,400,800,fundamental,0.004302746408107683,3.442197126486146,3.9221935184918975,1.2730348352178797,2.6859091634050105,-0.8038654359626576,0.015,0.626,0.736,,500,1000,0.05,0,2305879413,18,114,0,0,0,0,3,365
2,independent_fundamental,0.12,400,0.5,400,400,800,shared_orbit,0.0039415114225620496,3.1532091380496396,3.090282658696897,3.090282658696897,2.8504776228411934,-0.931886325856226,0.01,0.896,0.958,,500,1000,0.05,0,2305879413,18,114,0,0,0,0,3,365
2,independent_fundamental,0.12,800,0.5,800,800,1600,full,0.004302746408107433,6.884394252971893,7.300137097232529,4.304404823678539,3.5154983734116283,-0.9691956377541335,0.016,0.9,0.95,,500,1000,0.05,0,1825073912,0,25,0,0,0,0,0,475
